"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","107","Validar contrato da resposta de cadastro de usuário","","Wed Apr 22 21:56:53 UTC 2026","passed","Wed Apr 22 21:56:53 UTC 2026","","Usuarios - POST /usuarios","services.usuarios.tests.PostUsuariosTest","validarSchemaPostUsuarios"
"","153","Validar exclusão de usuário com sucesso retornando mensagem de confirmação","","Wed Apr 22 21:56:53 UTC 2026","passed","Wed Apr 22 21:56:54 UTC 2026","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarDeleteUsuariosPorIdComSucesso"
"","117","Validar cadastro de usuário com sucesso retornando mensagem e id","","Wed Apr 22 21:56:53 UTC 2026","passed","Wed Apr 22 21:56:53 UTC 2026","","Usuarios - POST /usuarios","services.usuarios.tests.PostUsuariosTest","validarPostUsuariosComSucesso"
"","61","Validar contrato da resposta de listagem de carrinhos","","Wed Apr 22 21:56:51 UTC 2026","passed","Wed Apr 22 21:56:51 UTC 2026","","Carrinhos - GET /carrinhos","services.carrinhos.tests.GetCarrinhosTest","validarSchemaGetCarrinhos"
"","439","Validar contrato da resposta de exclusão de produto","","Wed Apr 22 21:56:46 UTC 2026","passed","Wed Apr 22 21:56:46 UTC 2026","","Produtos - DELETE /produtos/{_id}","services.produtos.tests.DeleteProdutosByIdTest","validarSchemaDeleteProdutosPorId"
"","185","Validar contrato da resposta de alteração de usuário","","Wed Apr 22 21:56:53 UTC 2026","passed","Wed Apr 22 21:56:53 UTC 2026","","Usuarios - PUT /usuarios/{_id}","services.usuarios.tests.PutUsuariosByIdTest","validarSchemaPutUsuariosPorId"
"","410","Validar contrato da resposta de cadastro de carrinho","","Wed Apr 22 21:56:52 UTC 2026","passed","Wed Apr 22 21:56:52 UTC 2026","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarSchemaPostCarrinhos"
"","858","Validar contrato da resposta de consulta de produto por id","","Wed Apr 22 21:56:45 UTC 2026","passed","Wed Apr 22 21:56:46 UTC 2026","","Produtos - GET /produtos/{_id}","services.produtos.tests.GetProdutosByIdTest","validarSchemaGetProdutosPorId"
"","529","Validar contrato da resposta de consulta de carrinho por id","","Wed Apr 22 21:56:48 UTC 2026","passed","Wed Apr 22 21:56:49 UTC 2026","","Carrinhos - GET /carrinhos/{_id}","services.carrinhos.tests.GetCarrinhosByIdTest","validarSchemaGetCarrinhosPorId"
"","387","Validar alteração de produto com sucesso retornando mensagem de confirmação","","Wed Apr 22 21:56:48 UTC 2026","passed","Wed Apr 22 21:56:48 UTC 2026","","Produtos - PUT /produtos/{_id}","services.produtos.tests.PutProdutosByIdTest","validarPutProdutosPorIdComSucesso"
"","222","Validar contrato da resposta de cadastro de produto","","Wed Apr 22 21:56:47 UTC 2026","passed","Wed Apr 22 21:56:47 UTC 2026","","Produtos - POST /produtos","services.produtos.tests.PostProdutosTest","validarSchemaPostProdutos"
"","452","Validar cadastro de carrinho com sucesso retornando mensagem e id","","Wed Apr 22 21:56:51 UTC 2026","passed","Wed Apr 22 21:56:52 UTC 2026","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarPostCarrinhosComSucesso"
"","404","Validar exclusão de produto com sucesso retornando mensagem de confirmação","","Wed Apr 22 21:56:46 UTC 2026","passed","Wed Apr 22 21:56:46 UTC 2026","","Produtos - DELETE /produtos/{_id}","services.produtos.tests.DeleteProdutosByIdTest","validarDeleteProdutosPorIdComSucesso"
"","391","Validar contrato da resposta de alteração de produto","","Wed Apr 22 21:56:47 UTC 2026","passed","Wed Apr 22 21:56:48 UTC 2026","","Produtos - PUT /produtos/{_id}","services.produtos.tests.PutProdutosByIdTest","validarSchemaPutProdutosPorId"
"","62","Validar contrato da resposta de login com sucesso","","Wed Apr 22 21:56:52 UTC 2026","passed","Wed Apr 22 21:56:52 UTC 2026","","Login - POST /login","services.login.tests.PostLoginTest","validarSchemaPostLogin"
"","501","Validar contrato da resposta de cancelamento de compra","","Wed Apr 22 21:56:49 UTC 2026","passed","Wed Apr 22 21:56:50 UTC 2026","","Carrinhos - DELETE /carrinhos/cancelar-compra","services.carrinhos.tests.DeleteCarrinhosCancelarCompraTest","validarSchemaDeleteCarrinhosCancelarCompra"
